"Kew growth form category","Herb or woody mapping","Species in Kew database"
"Biennial","H",12
"Biennial or hemicryptophyte","",10
"Bulb geophyte","H",465
"Caudiform chamaephyte","",2
"Caudiform nanophanerophyte or phanerophyte","W",1
"Chamaephyte","",326
"Chamaephyte or climbing nanophanerophyte","",1
"Chamaephyte or nanophanerophyte","",183
"Chamaephyte or phanerophyte","",1
"Chamaephyte or rhizome geophyte","",1
"Chamaephyte or Tuber geophyte","",1
"Chamaephyte_ nanophanerophyte or phanerophyte","",3
"Chamaephyte_ sometimes tuberous","",2
"Climbing chamaephyte","",4
"Climbing chamaephyte or climbing nanophanerophyte","",1
"Climbing chamaephyte or nanophanerophyte","",2
"Climbing hemicryptophyte","H",10
"Climbing hemicryptophyte or nanophanerophyte","",3
"Climbing nanophanerophyte","W",23
"Climbing nanophanerophyte or phanerophyte","W",6
"Climbing phanerophyte","W",7
"Climbing rhizome geophyte","H",2
"Climbing tuber geophyte","H",38
"Epiphyte","",40
"Epiphyte or hemicryptophyte","",1
"Epiphytic chamaephyte","",11
"Epiphytic hemicryptophyte","H",1
"Epiphytic hemicryptophyte  or chamaephyte","",3
"Epiphytic scrambling chamaephyte","",1
"Geophyte","H",3
"Helophyte","H",39
"Helophyte or hemicryptophyte","H",3
"Helophyte or rhizome geophyte","H",4
"Helophyte or therophyte","H",1
"Helophyte or tuber geophyte","H",4
"Hemicryptophyte","H",927
"Hemicryptophyte or bulb geophyte","H",4
"Hemicryptophyte or chamaephyte","",81
"Hemicryptophyte or helophyte","H",7
"Hemicryptophyte or lithophyte","",1
"Hemicryptophyte or nanophanerophyte","",7
"Hemicryptophyte or rhizome geophyte","H",809
"Hemicryptophyte or therophyte","H",1
"Hemicryptophyte or tuber geophyte","H",17
"Hemicryptophyte_ sometimes tuberous","H",1
"Herbaceus phanerophyte","H",6
"Holomycotrophic hemicr.","H",1
"Holomycotrophic rhizome geophyte","H",8
"Holoparasitic geophyte","H",1
"Hydrochamaephyte","H",26
"Hydrohemicryptophyte","H",3
"Hydrotherophyte","H",4
"Liana","W",95
"Lithophyte","",3
"Lithophyte or epiphyte","",1
"Monocarpic hemicryptophyte","H",1
"Nanophanerophyte","W",735
"Nanophanerophyte or phanerophyte","W",766
"Pachycaul phanerophyte","W",1
"Phanerophyte","W",1363
"Pseudobulb epiphyte","H",15
"Pseudobulb geophyte","H",5
"Rhizome chamaephyte","",4
"Rhizome epiphyte","",1
"Rhizome geophyte","H",204
"Rhizome geophyte or chamaephyte","H",1
"Scrambling chamaephyte","",6
"Scrambling chamaephyte or nanophanerophyte","",1
"Scrambling hemicryptophyte","H",6
"Scrambling nanophanerophyte","W",26
"Scrambling nanophanerophyte or phanerophyte","W",34
"Scrambling phanerophyte","W",4
"Scrambling ther. or chamaephyte","",2
"Scrambling tuber geophyte","H",2
"Semisucculent chamaephyte","",5
"Semisucculent chamaephyte or nanophanerophyte","",6
"Semisucculent nanophanerophyte","",1
"Semisucculent nanophanerophyte or phanerophyte","",2
"Succ. hemicr.","H",70
"Succ. nanophanerophyte","W",29
"Succ. nanophanerophyte or phanerophyte","W",6
"Succ. phanerophyte","W",10
"Succ. tuber chamaephyte","",1
"Succulent chamaephyte","",52
"Succulent chamaephyte or nanophanerophyte","",14
"Therophyte","H",390
"Therophyte or biennial","H",10
"Therophyte or chamaephyte","",69
"Therophyte or helophyte","H",2
"Therophyte or hemicryptophyte","H",57
"Therophyte or tuber geophyte","H",1
"Therophyte_ hemicryptophyte or chamaephyte","H",1
"Tuber chamaephyte","",3
"Tuber chamaephyte or nanophanerophyte","",3
"Tuber geophyte","H",426
"Tuber geophyte or chamaephyte","",6
"Tuber geophyte or hemicryptophyte","",3
"Tuber helophyte","H",2
"Tuber hemicryptophyte","",1
"Tuber hydrogeophyte","",4
"Tuber nanophanerophyte","",3
"Tuber nanophanerophyte or phanerophyte","",3
"Tuber phanerophyte","",1
