Order,Group
Isoetales,Fern
Selaginellales,Fern
Lycopodiales,Fern
Marattiales,Fern
Psilotales,Fern
Equisetales,Fern
Osmundales,Fern
Gleicheniales,Fern
Hymenophyllales,Fern
Schizaeales,Fern
Salviniales,Fern
Ginkgoales,Gymnosperm
Cycadales,Gymnosperm
Welwitschiales,Gymnosperm
Gnetales,Gymnosperm
Ephedrales,Gymnosperm
Pinales,Gymnosperm
Cupressales,Gymnosperm
Araucariales,Gymnosperm
Nymphaeales,Angiosperm
Amborellales,Angiosperm
Austrobaileyales,Angiosperm
Chloranthales,Angiosperm
Ceratophyllales,Angiosperm
Piperales,Angiosperm
Canellales,Angiosperm
Laurales,Angiosperm
Magnoliales,Angiosperm
Acorales,Monocots
Alismatales,Monocots
Petrosaviales,Monocots
Pandanales,Monocots
Dioscoreales,Monocots
Liliales,Monocots
Asparagales,Monocots
Commelinales,Monocots
Zingiberales,Monocots
Arecales,Monocots
Poales,Monocots
Buxales,Eudicots
Trochodendrales,Eudicots
Proteales,Eudicots
Ranunculales,Eudicots
Gunnerales,Eudicots
Saxifragales,Eudicots
Vitales,Eudicots
Geraniales,Eudicots
Myrtales,Eudicots
Crossosomatales,Eudicots
Picramniales,Eudicots
Huerteales,Eudicots
Sapindales,Eudicots
Brassicales,Eudicots
Malvales,Eudicots
Zygophyllales,Eudicots
Oxalidales,Eudicots
Celastrales,Eudicots
Malpighiales,Eudicots
Cucurbitales,Eudicots
Fagales,Eudicots
Rosales,Eudicots
Fabales,Eudicots
Dilleniales,Eudicots
Santalales,Eudicots
Caryophyllales,Eudicots
Berberidopsidales,Eudicots
Cornales,Eudicots
Ericales,Eudicots
Aquifoliales,Eudicots
Paracryphiales,Eudicots
Escalloniales,Eudicots
Bruniales,Eudicots
Dipsacales,Eudicots
Apiales,Eudicots
Asterales,Eudicots
Garryales,Eudicots
Gentianales,Eudicots
Solanales,Eudicots
Lamiales,Eudicots
